iter	Logloss
0	0.6862905356
1	0.680251404
2	0.6740796901
3	0.6685637145
4	0.6626937498
5	0.6565646389
6	0.6501817384
7	0.6450213368
8	0.6391944348
9	0.6335251773
10	0.6283970816
11	0.6236614803
12	0.6191513538
13	0.6143116675
14	0.6090450018
15	0.6041892252
16	0.5995962041
17	0.5949459266
18	0.5909872485
19	0.5867493601
20	0.5819879911
21	0.5779436868
22	0.5738700658
23	0.5699955657
24	0.5660754464
25	0.5628173933
26	0.5590552123
27	0.5554930307
28	0.5523322081
29	0.5496477773
30	0.547074486
31	0.5438280952
32	0.5413870454
33	0.5387166846
34	0.5365036059
35	0.5335662429
36	0.531017736
37	0.5284532773
38	0.5257683319
39	0.5231216281
40	0.5211290135
41	0.5185166804
42	0.5161459685
43	0.5138470715
44	0.5114241958
45	0.5088222851
46	0.5069954224
47	0.5048563816
48	0.5028816819
49	0.5010998556
50	0.4990127429
51	0.4971374557
52	0.4952147884
53	0.4934059702
54	0.4916658518
55	0.4899296347
56	0.4882881488
57	0.4874631873
58	0.4861645361
59	0.4846397745
60	0.4828621
61	0.4813035204
62	0.4798028073
63	0.4782954505
64	0.4772439452
65	0.4758705193
66	0.4746985525
67	0.4733335591
68	0.4719362892
69	0.470827749
70	0.4696399204
71	0.4683551991
72	0.467140661
73	0.4662725987
74	0.4650097598
75	0.4637286019
76	0.4625752648
77	0.4616038192
78	0.4603891059
79	0.4595162628
80	0.4584568115
81	0.457457943
82	0.4567184371
83	0.4556317816
84	0.4547753818
85	0.4540002814
86	0.4530896416
87	0.4522034914
88	0.4514896965
89	0.450672941
90	0.4498440215
91	0.4489150972
92	0.4480247346
93	0.4472865582
94	0.4464427711
95	0.445501884
96	0.4447692931
97	0.4440435094
98	0.4437386602
99	0.4429914416
100	0.4422533445
101	0.4414458116
102	0.4406606227
103	0.4399902555
104	0.4392398194
105	0.4384431745
106	0.437692909
107	0.4371800468
108	0.4365649742
109	0.4359302321
110	0.4352944555
111	0.4346863326
112	0.4341745964
113	0.4335350526
114	0.432861553
115	0.432258293
116	0.4316298658
117	0.4311911941
118	0.4307146377
119	0.4301323105
120	0.4297756711
121	0.4293614056
122	0.4288432555
123	0.4282967588
124	0.4278670156
125	0.4276976705
126	0.4272344359
127	0.4267563202
128	0.4262644981
129	0.4256805315
130	0.4252874876
131	0.4248784716
132	0.4246332907
133	0.4241886291
134	0.4236752232
135	0.4235313799
136	0.4230804281
137	0.4225726945
138	0.422221354
139	0.4218033204
140	0.4214732185
141	0.4211986488
142	0.4208815617
143	0.420469973
144	0.4201050415
145	0.4199418045
146	0.4195538497
147	0.4191675424
148	0.4188822352
149	0.4185153035
150	0.4181907841
151	0.4178620835
152	0.4176405995
153	0.4173726756
154	0.4171536608
155	0.4168666574
156	0.4164597578
157	0.4161268332
158	0.4158017792
159	0.4155194174
160	0.4152008147
161	0.414841398
162	0.4145896664
163	0.4144987815
164	0.4142988465
165	0.4140252762
166	0.4138453585
167	0.4136253892
168	0.4134290145
169	0.4132196635
170	0.4129417812
171	0.4126285549
172	0.412349075
173	0.4121726413
174	0.4119316474
175	0.4116842273
176	0.4114530432
177	0.4114125716
178	0.4111647717
179	0.4109402683
180	0.4107803594
181	0.410542884
182	0.4102788623
183	0.4099738496
184	0.4098515227
185	0.4096797484
186	0.4095303616
187	0.4092719922
188	0.4091784704
189	0.4089024289
190	0.4088277919
191	0.4085739856
192	0.4084166875
193	0.4081569308
194	0.4080002025
195	0.4077976573
196	0.4077489248
197	0.4077070479
198	0.4075013167
199	0.4073218759
200	0.4071711637
201	0.4069862601
202	0.4067843567
203	0.4066924812
204	0.4064797605
205	0.4063733387
206	0.4061796931
207	0.4060407786
208	0.405798882
209	0.4056123169
210	0.4054768731
211	0.40543611
212	0.4052330075
213	0.4050271992
214	0.4048373861
215	0.4047141102
216	0.4045836889
217	0.4043596349
218	0.4041927877
219	0.4041211561
220	0.4039081869
221	0.4038666912
222	0.4038238049
223	0.4036483059
224	0.4035517783
225	0.4034617469
226	0.403325438
227	0.4032400077
228	0.4031255053
229	0.4029527327
230	0.4028069946
231	0.4026213829
232	0.4024899668
233	0.4023709729
234	0.4022702642
235	0.4022022731
236	0.4019575025
237	0.401885901
238	0.4017674624
239	0.4016319288
240	0.4015525329
241	0.401474717
242	0.4013703163
243	0.4012556782
244	0.4010693815
245	0.4009455129
246	0.4008351614
247	0.4007678715
248	0.400543504
249	0.4004753151
250	0.4002488862
251	0.400133771
252	0.4000330687
253	0.4000058791
254	0.3998700105
255	0.3996801161
256	0.3995801134
257	0.3994894252
258	0.3993499218
259	0.3991819191
260	0.3991043367
261	0.3990512664
262	0.3990391975
263	0.3988798724
264	0.3986883475
265	0.3985767654
266	0.398504153
267	0.3984791089
268	0.3984643935
269	0.3983450071
270	0.3982345633
271	0.398088133
272	0.3979263123
273	0.3979020907
274	0.3978169251
275	0.39770205
276	0.3976262283
277	0.3974804839
278	0.3973391427
279	0.3970851803
280	0.3970602098
281	0.3970277194
282	0.3969823452
283	0.3969397076
284	0.3968309479
285	0.3966977044
286	0.3966017583
287	0.3965202943
288	0.3964224538
289	0.3963390638
290	0.3962192636
291	0.3961016859
292	0.3960890076
293	0.3960743344
294	0.3959922207
295	0.3958684062
296	0.395830572
297	0.3956884202
298	0.3955873394
299	0.3955121688
300	0.3954938725
301	0.3953834754
302	0.3952894146
303	0.395180487
304	0.3951534775
305	0.3950640035
306	0.3950227438
307	0.394975988
308	0.3949355907
309	0.3948456088
310	0.3947788079
311	0.3946852193
312	0.3945578504
313	0.394469378
314	0.3943967342
315	0.3942823871
316	0.3941979777
317	0.3941350521
318	0.3940469996
319	0.3939398514
320	0.3938058688
321	0.3937665595
322	0.3936745825
323	0.3935570746
324	0.3934708872
325	0.3933955646
326	0.3933924276
327	0.3933589321
328	0.3933226692
329	0.3931430678
330	0.3930203442
331	0.3929549832
332	0.3928341013
333	0.3927098598
334	0.3926914919
335	0.3925419334
336	0.3924227376
337	0.392386647
338	0.3923608257
339	0.3922902997
340	0.3922311157
341	0.39214066
342	0.3920958901
343	0.3920530157
344	0.3919427322
345	0.3918955795
346	0.3918802449
347	0.3918295471
348	0.3917606034
349	0.3917021088
350	0.391656279
351	0.3916451148
352	0.391636884
353	0.3915421746
354	0.3914635691
355	0.3913414241
356	0.3911991424
357	0.3911421584
358	0.3910822208
359	0.391038211
360	0.3909516518
361	0.3908736767
362	0.3908661381
363	0.3907825086
364	0.3907459664
365	0.3906747679
366	0.390640146
367	0.3905790361
368	0.3904430405
369	0.3903117026
370	0.3902950723
371	0.3901572952
372	0.3901392002
373	0.3900557473
374	0.3899690779
375	0.3898548292
376	0.3897843603
377	0.3897831785
378	0.3897251459
379	0.3896754918
380	0.3896226833
381	0.3895714937
382	0.3894972943
383	0.3894073649
384	0.3893769119
385	0.3893261476
386	0.3892685838
387	0.3891554247
388	0.3890908677
389	0.3890197707
390	0.3889361381
391	0.3889007136
392	0.388888547
393	0.3888174651
394	0.388754386
395	0.3886694136
396	0.3886464784
397	0.3886129243
398	0.3885158696
399	0.3884951017
400	0.3884696674
401	0.3884409325
402	0.3883676906
403	0.3882465872
404	0.388193986
405	0.3881177426
406	0.388045227
407	0.3879760461
408	0.3879311151
409	0.3879305735
410	0.3878687514
411	0.3878544204
412	0.3877562155
413	0.3876888541
414	0.3876474623
415	0.387628423
416	0.3876055377
417	0.3876020802
418	0.3875579403
419	0.3874565094
420	0.3874226022
421	0.3874102507
422	0.3873984603
423	0.387354462
424	0.3873462158
425	0.3873014754
426	0.38722095
427	0.3871733689
428	0.3871125346
429	0.3871113019
430	0.3870908027
431	0.3870654884
432	0.3870356441
433	0.3869938256
434	0.3869385249
435	0.3869385247
436	0.386903581
437	0.3868991538
438	0.3867869504
439	0.3867243222
440	0.3866939587
441	0.3866362156
442	0.3865680216
443	0.3865302145
444	0.3865165557
445	0.3864975015
446	0.3864543713
447	0.3863971265
448	0.3863369797
449	0.3863186436
450	0.3862669509
451	0.3862264605
452	0.3862238643
453	0.3861816691
454	0.386181669
455	0.3861570388
456	0.3861412294
457	0.3860690021
458	0.3860533058
459	0.3860363005
460	0.3859867241
461	0.3858847206
462	0.3858335406
463	0.3857750319
464	0.3857558541
465	0.3856755773
466	0.3855805393
467	0.3855119734
468	0.3855002682
469	0.3853779181
470	0.3853200658
471	0.3852894893
472	0.3852412631
473	0.3852252784
474	0.3851453514
475	0.3850770614
476	0.384984796
477	0.3849266209
478	0.384818829
479	0.3847643198
480	0.3847572293
481	0.3846282387
482	0.384511772
483	0.384491059
484	0.3844511975
485	0.3844288484
486	0.3843431287
487	0.3842751255
488	0.3842660967
489	0.3842121152
490	0.3842097458
491	0.3840879113
492	0.3840683281
493	0.384060195
494	0.3839847765
495	0.3839759738
496	0.3839538694
497	0.3839319995
498	0.3839232993
499	0.383901623
500	0.3838576091
501	0.3838417275
502	0.3837978963
503	0.3837727712
504	0.3836486937
505	0.3836322165
506	0.3836256149
507	0.3835700908
508	0.3835306464
509	0.3834793754
510	0.383436697
511	0.3834199487
512	0.3833359579
513	0.3832703002
514	0.3832502566
515	0.3832427669
516	0.3831506014
517	0.3830646046
518	0.3830397037
519	0.3829784403
520	0.3829712586
521	0.3829629572
522	0.382907283
523	0.3828994993
524	0.3828765836
525	0.3828511497
526	0.3828474891
527	0.3828368066
528	0.3827779676
529	0.3827207999
530	0.3827134271
531	0.3827131059
532	0.3827124911
533	0.3826872137
534	0.3826646591
535	0.3826418576
536	0.3826418564
537	0.3826418552
538	0.3826060152
539	0.3825700714
540	0.3825382019
541	0.382528283
542	0.3825012405
543	0.3824981489
544	0.3824877337
545	0.3824103408
546	0.3823723351
547	0.3823444566
548	0.3822973606
549	0.3822967758
550	0.3822967725
551	0.3822301828
552	0.3821875587
553	0.3821872542
554	0.3820985318
555	0.3820759107
556	0.3820188538
557	0.381965583
558	0.3818967402
559	0.3818961854
560	0.3818595584
561	0.3817931325
562	0.3817882686
563	0.381680108
564	0.3816801035
565	0.381670066
566	0.3816499999
567	0.3816493095
568	0.3815773147
569	0.3815277862
570	0.3815145298
571	0.3814948927
572	0.3814803551
573	0.3814434995
574	0.3813644237
575	0.3812935112
576	0.3812024951
577	0.3811855847
578	0.3811652378
579	0.381090252
580	0.3810269443
581	0.3809698339
582	0.3809204607
583	0.3809101698
584	0.3808368267
585	0.3808325701
586	0.3806822343
587	0.3805885799
588	0.3805849239
589	0.3805807281
590	0.3805555416
591	0.3805431789
592	0.3805281502
593	0.3804837972
594	0.3803358829
595	0.3803008709
596	0.3802153872
597	0.3801520167
598	0.3800757064
599	0.3800736129
600	0.3800566565
601	0.3800554743
602	0.3799423997
603	0.3798581988
604	0.3798576059
605	0.3798113636
606	0.3798023047
607	0.3797983964
608	0.3797980568
609	0.3797130467
610	0.379650665
611	0.3795234255
612	0.3794859015
613	0.3794638177
614	0.379453137
615	0.3793900729
616	0.379358665
617	0.3793430005
618	0.3792838919
619	0.3792523338
620	0.3792523324
621	0.3791974814
622	0.379196833
623	0.3791648396
624	0.3791611144
625	0.3790001157
626	0.3789484101
627	0.3789394162
628	0.3788538037
629	0.3787960068
630	0.3787065389
631	0.3786853259
632	0.378581625
633	0.3785816117
634	0.3785704765
635	0.3785004239
636	0.3784488565
637	0.3783868739
638	0.378382234
639	0.3783766426
640	0.3783714602
641	0.3782892034
642	0.3782719472
643	0.3781906339
644	0.3780930962
645	0.3779641826
646	0.3779248808
647	0.3778949011
648	0.3778879923
649	0.3778743773
650	0.3778317414
651	0.3777750472
652	0.3777166809
653	0.3776536292
654	0.3776102169
655	0.3775598466
656	0.377482293
657	0.3773923132
658	0.377249555
659	0.3772105503
660	0.377169084
661	0.3771428976
662	0.3771218723
663	0.3770900754
664	0.3770087102
665	0.3769614931
666	0.3768982212
667	0.3768269078
668	0.3768252775
669	0.3767492855
670	0.3767380174
671	0.376693871
672	0.3766458793
673	0.3765928857
674	0.3765755847
675	0.3765444472
676	0.3765339608
677	0.376490561
678	0.3764145355
679	0.3763158141
680	0.3763129029
681	0.3762900217
682	0.376259806
683	0.376229135
684	0.3761863236
685	0.3761053203
686	0.3760595373
687	0.3760089726
688	0.3759448573
689	0.37592634
690	0.3758597919
691	0.3758276565
692	0.3757116965
693	0.3756611179
694	0.3755852792
695	0.3755270963
696	0.3754944503
697	0.3754901409
698	0.3754784226
699	0.3754014454
700	0.3753701025
701	0.3753303958
702	0.3753002701
703	0.3752478994
704	0.3752087774
705	0.3751738943
706	0.3751737935
707	0.3751373466
708	0.3751050786
709	0.3750630611
710	0.3750435764
711	0.3750198834
712	0.3749485359
713	0.3749308876
714	0.3749308699
715	0.3749096537
716	0.3749094316
717	0.3749053552
718	0.374897484
