iter	Passed	Remaining
0	6	12311
1	14	14271
2	20	13823
3	27	13530
4	33	13383
5	39	13149
6	47	13405
7	51	12768
8	57	12728
9	63	12612
10	69	12561
11	73	12144
12	76	11737
13	83	11793
14	88	11679
15	94	11769
16	100	11702
17	107	11817
18	112	11770
19	119	11808
20	124	11733
21	131	11810
22	136	11768
23	143	11843
24	150	11881
25	155	11783
26	161	11768
27	168	11838
28	173	11767
29	178	11746
30	182	11614
31	189	11656
32	195	11634
33	201	11679
34	205	11562
35	213	11667
36	220	11681
37	227	11765
38	235	11861
39	242	11874
40	247	11830
41	254	11860
42	259	11828
43	264	11758
44	270	11759
45	277	11793
46	283	11785
47	292	11908
48	300	11964
49	308	12048
50	315	12064
51	322	12068
52	328	12068
53	334	12056
54	339	11998
55	346	12029
56	352	12012
57	355	11909
58	360	11864
59	368	11901
60	375	11925
61	381	11930
62	388	11954
63	396	11992
64	403	12001
65	408	11984
66	415	11995
67	422	11996
68	429	12010
69	435	12001
70	440	11967
71	446	11962
72	453	11966
73	457	11917
74	465	11943
75	471	11942
76	478	11941
77	482	11900
78	490	11925
79	495	11884
80	502	11914
81	509	11907
82	513	11850
83	520	11861
84	526	11852
85	531	11824
86	536	11806
87	542	11795
88	549	11797
89	555	11789
90	562	11801
91	569	11806
92	574	11786
93	581	11788
94	587	11778
95	594	11794
96	601	11799
97	607	11794
98	611	11737
99	616	11720
100	623	11726
101	629	11704
102	636	11716
103	643	11727
104	649	11725
105	654	11694
106	660	11687
107	666	11683
108	673	11685
109	678	11660
110	686	11678
111	692	11670
112	699	11682
113	705	11676
114	712	11676
115	719	11687
116	725	11681
117	732	11676
118	738	11679
119	745	11681
120	751	11665
121	757	11666
122	763	11653
123	770	11650
124	777	11667
125	782	11637
126	789	11639
127	797	11657
128	804	11665
129	811	11668
130	817	11660
131	823	11660
132	828	11629
133	833	11612
134	840	11604
135	843	11567
136	849	11551
137	855	11539
138	861	11533
139	866	11518
140	874	11524
141	881	11535
142	886	11518
143	893	11509
144	899	11511
145	903	11478
146	910	11477
147	916	11465
148	922	11465
149	929	11466
150	935	11454
151	941	11447
152	946	11424
153	952	11417
154	959	11415
155	966	11426
156	973	11430
157	981	11445
158	989	11452
159	994	11438
160	1001	11434
161	1007	11432
162	1013	11422
163	1017	11394
164	1023	11379
165	1028	11365
166	1035	11364
167	1041	11360
168	1047	11344
169	1053	11341
170	1059	11332
171	1066	11332
172	1073	11333
173	1079	11332
174	1086	11330
175	1092	11321
176	1099	11322
177	1101	11271
178	1106	11257
179	1112	11249
180	1119	11250
181	1125	11239
182	1132	11243
183	1138	11238
184	1145	11235
185	1152	11240
186	1155	11205
187	1163	11212
188	1169	11202
189	1175	11198
190	1180	11179
191	1187	11184
192	1195	11189
193	1201	11188
194	1209	11192
195	1216	11194
196	1220	11166
197	1224	11147
198	1230	11132
199	1236	11131
200	1244	11135
201	1249	11124
202	1255	11113
203	1262	11111
204	1267	11097
205	1273	11093
206	1279	11085
207	1285	11079
208	1292	11074
209	1299	11076
210	1304	11062
211	1309	11041
212	1315	11037
213	1322	11036
214	1328	11029
215	1333	11017
216	1339	11008
217	1347	11012
218	1353	11009
219	1359	11002
220	1367	11004
221	1371	10984
222	1378	10981
223	1384	10973
224	1391	10976
225	1397	10967
226	1404	10967
227	1409	10956
228	1417	10959
229	1423	10956
230	1429	10946
231	1436	10948
232	1442	10936
233	1448	10929
234	1454	10922
235	1460	10914
236	1466	10910
237	1472	10897
238	1478	10893
239	1484	10884
240	1490	10880
241	1494	10854
242	1500	10849
243	1507	10849
244	1514	10851
245	1522	10852
246	1528	10845
247	1534	10837
248	1540	10833
249	1547	10830
250	1553	10826
251	1560	10827
252	1568	10828
253	1574	10819
254	1579	10809
255	1585	10804
256	1593	10806
257	1599	10796
258	1605	10793
259	1613	10796
260	1619	10792
261	1626	10791
262	1629	10760
263	1637	10764
264	1642	10753
265	1648	10746
266	1654	10741
267	1658	10715
268	1662	10695
269	1668	10693
270	1674	10684
271	1682	10686
272	1688	10678
273	1691	10656
274	1698	10653
275	1704	10647
276	1711	10644
277	1717	10638
278	1723	10631
279	1730	10632
280	1737	10630
281	1743	10619
282	1749	10616
283	1756	10614
284	1764	10615
285	1769	10605
286	1776	10601
287	1783	10600
288	1789	10593
289	1796	10595
290	1804	10597
291	1810	10591
292	1815	10575
293	1818	10553
294	1824	10546
295	1830	10540
296	1837	10535
297	1843	10527
298	1849	10519
299	1855	10515
300	1859	10497
301	1867	10500
302	1873	10494
303	1881	10494
304	1886	10484
305	1893	10480
306	1897	10464
307	1903	10458
308	1909	10452
309	1915	10443
310	1922	10440
311	1927	10429
312	1934	10427
313	1941	10423
314	1947	10418
315	1954	10415
316	1961	10413
317	1968	10411
318	1975	10409
319	1981	10403
320	1987	10393
321	1993	10389
322	1999	10381
323	2006	10380
324	2013	10377
325	2020	10374
326	2026	10370
327	2031	10357
328	2038	10353
329	2045	10349
330	2051	10346
331	2058	10343
332	2065	10338
333	2072	10338
334	2076	10319
335	2081	10307
336	2089	10308
337	2093	10294
338	2100	10291
339	2106	10283
340	2112	10276
341	2118	10271
342	2125	10269
343	2132	10264
344	2139	10261
345	2145	10255
346	2151	10250
347	2157	10243
348	2164	10239
349	2170	10233
350	2177	10229
351	2180	10210
352	2187	10205
353	2194	10203
354	2201	10202
355	2208	10199
356	2215	10194
357	2219	10181
358	2226	10178
359	2233	10176
360	2240	10172
361	2247	10168
362	2252	10157
363	2258	10152
364	2265	10149
365	2272	10143
366	2277	10133
367	2283	10127
368	2289	10118
369	2296	10115
370	2300	10099
371	2306	10094
372	2311	10083
373	2318	10077
374	2326	10080
375	2333	10078
376	2339	10072
377	2343	10056
378	2349	10047
379	2356	10046
380	2362	10039
381	2369	10035
382	2376	10035
383	2382	10026
384	2386	10010
385	2393	10009
386	2399	10001
387	2405	9995
388	2412	9992
389	2418	9984
390	2426	9983
391	2432	9980
392	2436	9962
393	2441	9953
394	2448	9948
395	2455	9945
396	2462	9942
397	2468	9936
398	2475	9932
399	2480	9922
400	2486	9915
401	2491	9902
402	2496	9893
403	2502	9885
404	2508	9879
405	2514	9872
406	2522	9871
407	2528	9864
408	2533	9855
409	2537	9839
410	2543	9832
411	2547	9817
412	2554	9816
413	2561	9811
414	2567	9807
415	2574	9802
416	2580	9795
417	2586	9788
418	2591	9780
419	2598	9775
420	2604	9769
421	2611	9765
422	2615	9752
423	2622	9749
424	2627	9737
425	2632	9727
426	2639	9723
427	2645	9716
428	2652	9713
429	2656	9700
430	2660	9686
431	2666	9680
432	2672	9672
433	2680	9671
434	2686	9666
435	2689	9647
436	2694	9637
437	2698	9621
438	2703	9614
439	2710	9609
440	2717	9608
441	2723	9599
442	2730	9596
443	2736	9589
444	2740	9575
445	2744	9564
446	2751	9559
447	2758	9555
448	2765	9554
449	2771	9547
450	2777	9540
451	2785	9538
452	2789	9524
453	2795	9520
454	2800	9508
455	2807	9505
456	2812	9495
457	2819	9492
458	2823	9479
459	2829	9472
460	2835	9465
461	2841	9459
462	2847	9453
463	2854	9447
464	2858	9436
465	2866	9434
466	2873	9432
467	2879	9427
468	2885	9418
469	2892	9414
470	2898	9410
471	2905	9405
472	2911	9399
473	2915	9386
474	2922	9382
475	2929	9377
476	2934	9370
477	2941	9366
478	2949	9364
479	2955	9360
480	2963	9357
481	2968	9350
482	2976	9347
483	2983	9343
484	2988	9335
485	2995	9332
486	3000	9322
487	3006	9316
488	3011	9305
489	3017	9298
490	3020	9282
491	3026	9277
492	3033	9273
493	3038	9262
494	3044	9257
495	3049	9246
496	3056	9241
497	3061	9234
498	3065	9221
499	3071	9213
500	3077	9207
501	3083	9200
502	3089	9193
503	3093	9181
504	3100	9178
505	3105	9169
506	3109	9155
507	3115	9148
508	3121	9143
509	3127	9137
510	3134	9134
511	3140	9126
512	3146	9120
513	3154	9118
514	3160	9112
515	3165	9102
516	3171	9097
517	3177	9089
518	3183	9085
519	3190	9081
520	3198	9078
521	3201	9064
522	3207	9058
523	3211	9047
524	3218	9042
525	3224	9037
526	3228	9024
527	3234	9016
528	3239	9008
529	3245	9001
530	3250	8992
531	3257	8989
532	3260	8975
533	3267	8970
534	3273	8964
535	3280	8961
536	3283	8945
537	3286	8930
538	3293	8928
539	3302	8928
540	3308	8921
541	3314	8916
542	3321	8913
543	3325	8899
544	3330	8890
545	3337	8886
546	3344	8883
547	3350	8877
548	3358	8876
549	3362	8864
550	3364	8848
551	3371	8843
552	3378	8839
553	3382	8828
554	3389	8824
555	3395	8817
556	3402	8814
557	3411	8814
558	3419	8813
559	3422	8801
560	3429	8796
561	3437	8796
562	3443	8788
563	3450	8785
564	3453	8770
565	3461	8770
566	3468	8765
567	3473	8757
568	3480	8753
569	3486	8745
570	3493	8743
571	3499	8736
572	3504	8726
573	3512	8725
574	3520	8724
575	3529	8725
576	3536	8721
577	3545	8722
578	3553	8720
579	3560	8717
580	3567	8712
581	3574	8710
582	3582	8706
583	3591	8707
584	3598	8703
585	3606	8703
586	3613	8697
587	3621	8696
588	3627	8690
589	3636	8690
590	3643	8686
591	3648	8678
592	3655	8673
593	3662	8668
594	3671	8670
595	3679	8667
596	3688	8668
597	3695	8664
598	3704	8664
599	3710	8657
600	3717	8653
601	3722	8644
602	3730	8643
603	3739	8643
604	3744	8633
605	3752	8633
606	3761	8631
607	3765	8621
608	3773	8617
609	3781	8616
610	3788	8613
611	3797	8611
612	3803	8606
613	3810	8600
614	3816	8595
615	3823	8590
616	3831	8587
617	3837	8581
618	3843	8575
619	3850	8570
620	3852	8555
621	3861	8554
622	3867	8547
623	3874	8543
624	3879	8534
625	3885	8528
626	3892	8522
627	3897	8515
628	3904	8509
629	3910	8503
630	3917	8500
631	3924	8494
632	3931	8489
633	3934	8477
634	3942	8474
635	3949	8470
636	3955	8464
637	3960	8455
638	3965	8446
639	3972	8441
640	3978	8435
641	3985	8430
642	3990	8421
643	3998	8418
644	4006	8416
645	4013	8412
646	4020	8408
647	4026	8400
648	4031	8391
649	4036	8384
650	4043	8378
651	4050	8374
652	4057	8369
653	4063	8363
654	4069	8356
655	4075	8349
656	4082	8344
657	4089	8341
658	4097	8338
659	4104	8334
660	4111	8329
661	4118	8323
662	4124	8316
663	4132	8313
664	4139	8309
665	4146	8304
666	4155	8304
667	4162	8299
668	4169	8294
669	4175	8288
670	4181	8281
671	4187	8276
672	4193	8269
673	4201	8265
674	4205	8255
675	4212	8250
676	4218	8244
677	4225	8239
678	4231	8232
679	4238	8227
680	4242	8216
681	4248	8211
682	4256	8207
683	4263	8202
684	4268	8194
685	4276	8191
686	4282	8185
687	4288	8177
688	4295	8173
689	4301	8165
690	4307	8160
691	4315	8156
692	4320	8148
693	4329	8147
694	4335	8141
695	4341	8133
696	4347	8127
697	4351	8117
698	4358	8111
699	4365	8107
700	4373	8104
701	4379	8098
702	4385	8091
703	4391	8085
704	4399	8080
705	4406	8075
706	4409	8064
707	4415	8057
708	4422	8052
709	4429	8048
710	4435	8040
711	4443	8037
712	4449	8032
713	4456	8026
714	4459	8014
715	4466	8009
716	4469	7997
717	4475	7990
718	4482	7985
719	4489	7981
720	4496	7976
721	4502	7970
722	4509	7964
723	4515	7958
724	4522	7953
725	4530	7949
726	4536	7943
727	4542	7937
728	4551	7935
729	4559	7932
730	4567	7928
731	4575	7925
732	4583	7922
733	4589	7916
734	4597	7912
735	4603	7906
736	4610	7901
737	4617	7896
738	4625	7893
739	4631	7886
740	4634	7874
